KTPBusinessUnitDivision,KTPBusinessUnitStream,KTPBusinessUnitUnit,KTPBusinessReportingUnit,KTPBusinessUnitLocation
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,London - Cavendish Place
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Infrastructure McN,Croydon - UKPN
Development Property and Business Services,Workplace Services,Facilities Management,Facilities Management,London - Centre for Business Arts and Technology
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Manchester - St Johns House
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Birmingham - Coleshill Depot
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Bridgwater - Hinkley
Development Property and Business Services,Workplace Services,Facilities Management,Facilities Management,Rushden - Marriott House
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,Manchester - Fountain Street
Development Property and Business Services,Housing Maintenance,Housing Maintenance North,Housing Maintenance East,Killingworth
Development Property and Business Services,Living,Living Eastern,Living Eastern,Corby - Priors Hall
Construction and Infrastructure,Build UK,Build Major Projects,Build Major Projects,Cambridge - Building 3000
Construction and Infrastructure,Infrastructure and Utilities,UK Infrastructure,Infrastructure Projects,Hatfield - Affinity Water
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,Hounslow - Heart of Hounslow
Centre,Group Centre,Group Centre,Kier Limited - Group Functions,Sandy - Lysander House
Development Property and Business Services,Housing Maintenance,Housing Maintenance South,Housing Maintenance South,312 Kingsland Road
Development Property and Business Services,Housing Maintenance,Housing Maintenance North,Housing Maintenance East,Sheffield - Manor Lane
Centre,Group Centre,Group Centre,Kier Limited - IT Functions,Stoke - Alton House
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,KSMS –Stratford
Centre,Group Centre,Group Centre,Kier Limited - IT Functions,Cheadle - Cherry Lane
Development Property and Business Services,Workplace Services,KWS Centre,KWS Centre,Sandy - Tempsford Hall
Centre,Group Centre,Group Centre,Kier Limited - Group Functions,Corby - Lammas Road
Development Property and Business Services,Housing Maintenance,Housing Maintenance North,#VALUE!,Swanlincote - Dysons Close
Centre,Group Centre,Group Centre,Kier Limited - IT Functions,Sheffield - Manor Lane
Development Property and Business Services,Housing Maintenance,Housing Maintenance North,#VALUE!,Lincoln - Hamilton House
Development Property and Business Services,Housing Maintenance,Housing Maintenance North,#VALUE!,Lincoln - Hamilton House
Centre,Group Centre,Group Centre,Kier Limited - IT Functions,Sheffield - Thorncliffe Hall
Development Property and Business Services,Housing Maintenance,Housing Maintenance North,#VALUE!,Lincoln - Hamilton House
Development Property and Business Services,Housing Maintenance,Housing Maintenance North,#VALUE!,Sheffield - Manor Lane
Construction and Infrastructure,Infrastructure and Utilities,Utilities Centre,Utilities Centre,Barnsley - The Old Gatehouse
Construction and Infrastructure,Build UK,Build Major Projects,Build Major Projects,Not Known
Development Property and Business Services,Housing Maintenance,Housing Maintenance South,Housing Maintenance South,London - Islington
Centre,Group Centre,Group Centre,Kier Limited - IT Functions,Wrexham - Llay Business Centre
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,Sheffield - Meadowhead School
Construction and Infrastructure,Infrastructure and Utilities,UK Infrastructure,Infrastructure Projects,Falkirk - Middlefield Industrial Estate
Construction and Infrastructure,Build UK,Build KME,Build KME,London - UCL
Construction and Infrastructure,Infrastructure and Utilities,UK Infrastructure,Infrastructure Projects,Birmingham – HS2 Contract C3
Construction and Infrastructure,Infrastructure and Utilities,UK Infrastructure,Infrastructure Projects,Northwich - Navigation Road
Construction and Infrastructure,Build UK,Build Major Projects,Build Major Projects,Cambridge - Abcam Building Biomedical Campus
Construction and Infrastructure,Infrastructure and Utilities,UK Infrastructure,Infrastructure Projects,Burghfield - AWE
Construction and Infrastructure,Build UK,Build Major Projects,Build Major Projects,Leeds - Thorpe Park
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,Waltham Forest - Larkswood Primary School
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,Manchester - Trafford Park
Development Property and Business Services,Housing Maintenance,Housing Maintenance North,Kier North Tyneside Ltd,Sandy - Tempsford Hall
Development Property and Business Services,Workplace Services,Facilities Management,Business Assurance,Manchester - Trafford Park
Centre,Group Centre,Group Centre,Kier Limited - IT Functions,Newcastle - Killingworth
Development Property and Business Services,Housing Maintenance,Housing Maintenance North,Housing Maintenance Centre,Newcastle - Killingworth
Development Property and Business Services,Housing Maintenance,Housing Maintenance North,Housing Maintenance Centre,Sandy - Tempsford Hall
Development Property and Business Services,Workplace Services,KWS Centre,Overheads & Central - KBS,Sheffield - Thorncliffe Hall
Development Property and Business Services,Workplace Services,Technical Services,Hard Services,North Bradley - Unit 3 Sandown Centre
Development Property and Business Services,Workplace Services,Technical Services,Hard Services,Barry - RAF St Athan
Development Property and Business Services,Housing Maintenance,Housing Maintenance South,Housing Maintenance South,Manchester - Financial Shared Service Centre (FSSC)
Construction and Infrastructure,Build UK,Build Centre,Build Centre,Basingstoke - Basing View
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,Kent Schools PFI
Construction and Infrastructure,Infrastructure and Utilities,UK Infrastructure,Infrastructure Projects,Aylesford - Broadmead House
Centre,Group Centre,Group Centre,Kier Limited - IT Functions,Wigan - Brunswick House
Development Property and Business Services,Living,Living Central,Living Central,Sandy - Lysander House
Development Property and Business Services,Environmental,Environmental,Pure Recycling Warwick Ltd,Stratford-upon-Avon - Warwick Road
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,Waltham Forest - Low Hall Depot
Construction and Infrastructure,Build UK,Build Centre,Build Centre,Basingstoke - Southern Cross
Construction and Infrastructure,Build UK,Build Major Projects,Build Major Projects,London - St Bernards
Centre,Group Centre,Group Centre,Kier Limited - IT Functions,Solihull - Tungsten Building
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,Oldham - Failsworth School
Construction and Infrastructure,Build UK,Build Centre,Build Centre,Solihull - Tungsten Building
Development Property and Business Services,Environmental,Environmental,Kier Environmental Services,Wellingborough - Chelveston Renewable Enery Park
Construction and Infrastructure,Build UK,Build Major Projects,Build Major Projects,Dubai - TECOM
Construction and Infrastructure,Infrastructure and Utilities,UK Infrastructure,Infrastructure Projects,Luton People Mover
Development Property and Business Services,Workplace Services,Facilities Management,Facilities Management,Manchester - Trafford Park
Construction and Infrastructure,Build UK,Build Major Projects,Build Major Projects,London - UCL
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,Sheffield - Westfield School
Construction and Infrastructure,Build UK,Build Eastern,Build Eastern,Cambridge - Building 3000 Cambridge Research Park
Centre,Group Centre,Group Centre,Kier Limited - Group Functions,Wrexham - Llay Business Centre
Development Property and Business Services,Housing Maintenance,Housing Maintenance South,Housing Maintenance South,Richmond - Mercury Road
Construction and Infrastructure,Build UK,Build Scotland & North East,Build Scotland & North East,Arnhall Business Park
Development Property and Business Services,Living,Living Central,Living Central,Solihull - Solihull Tungsten Building
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,Camden - LB Camden
Centre,Group Centre,Group Centre,Kier Limited - IT Functions,Leeds - Thorpe Park
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,London - Jewish Care
Development Property and Business Services,Workplace Services,Technical Services,Hard Services,Cardiff - GloWorks
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Rushden - Marriott House
Construction and Infrastructure,Build UK,Build Western & Wales,Build Western and Wales,Plymouth - Martin Street
Development Property and Business Services,Environmental,Environmental,Kier Environmental Services,Uckfield - Brambleside
Development Property and Business Services,Housing Maintenance,Housing Maintenance North,Housing Maintenance East,Not Known
Construction and Infrastructure,Build UK,Build Major Projects,Build Major Projects,Exeter - Hawthorn House
Construction and Infrastructure,Build UK,Build KME,Build KME,Oxford - Oxford Business Park South
Development Property and Business Services,Workplace Services,Technical Services,Hard Services,Chertsey - Samsung
Centre,Group Centre,Group Centre,Kier Limited - Group Functions,London - Cavendish Place
Construction and Infrastructure,Build UK,Build Scotland & North East,Build Scotland & North East,Kilmarnock - Kilmarnock Site
Centre,Group Centre,Group Centre,Kier Limited - Group Functions,Bolton - Johnson St
Development Property and Business Services,Living,Living Centre,Living Centre,London - Foley Street
Construction and Infrastructure,Build UK,Build KME,Build KME,Cambridge - CAPELLA
Development Property and Business Services,Property,Property Developments  Centre,KPD Centre,Andover
Development Property and Business Services,Workplace Services,Technical Services,Hard Services,Powys - Ladywell House
Development Property and Business Services,Living,Living South West,Living South West,Southampton - Mapmakers Site
Development Property and Business Services,Housing Maintenance,Housing Maintenance South,Housing Maintenance South,March - Beacon House
Development Property and Business Services,Housing Maintenance,Housing Maintenance South,Islington,Stratford - Boardman House
Development Property and Business Services,Workplace Services,Technical Services,KWS Projects,Cambridge - Waterbeach
Development Property and Business Services,Living,Living Central,Living Central,Birmingham - Redditch Road
Development Property and Business Services,Living,Living Northern,Living Northern,Sheffield - Thorncliffe Hall
Centre,Group Centre,Group Centre,Kier Limited - Group Functions,Cardiff - Conway House
Development Property and Business Services,Environmental,Environmental,Kier Environmental Services,Bristol - Ashmead Road
Centre,Group Centre,Group Centre,Kier Limited - Group Functions,Wymondham - Duplex Portacabins
Construction and Infrastructure,Build UK,Build KME,Build KME,London - St Bernards
Construction and Infrastructure,Build UK,Build Major Projects,Build Major Projects,London - T1
Construction and Infrastructure,Build UK,Build KME,Build KME,West Berkshire - Crowthorne
Construction and Infrastructure,Construction,Build Strategic Alliances,Build Strategic Alliances,Basingstoke - Bridgwater House
Construction and Infrastructure,Build UK,Build KME,Build KME,RAF Lyneham
Development Property and Business Services,Housing Maintenance,Housing Maintenance North,#VALUE!,Harlow - Mead Industrial Park
Development Property and Business Services,Housing Maintenance,Housing Maintenance North,Kier Stoke Ltd,Stoke - Alton House
Construction and Infrastructure,Build UK,Build Centre,Build Centre,Rushden - Sapphire House (Procurement)
Centre,Group Centre,Group Centre,Kier Limited - Group Functions,Stoke - Alton House
Construction and Infrastructure,Infrastructure and Utilities,Utilities Centre,Utilities Centre,Peterborough - Thorpe Wood
Construction and Infrastructure,Build UK,Build Scotland & North East,Build Scotland & North East,Sandy - Tempsford Hall
Development Property and Business Services,Property,Property Developments  Centre,KPD Centre,Manchester - Trafford Park
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,Basingstoke - Basing View
Centre,Group Centre,Group Centre,Kier Limited - Group Functions,Sheffield - Manor Lane
Construction and Infrastructure,Infrastructure and Utilities,UK Infrastructure,Infrastructure Projects,Bolton - Johnson St
Construction and Infrastructure,Highways,Local Highways,Local Highways,Bury St Edmunds - Rougham Industrial Estate
Construction and Infrastructure,Build UK,Build Centre,Build Centre,Ipswich - Phoenix House
Construction and Infrastructure,Infrastructure and Utilities,Utilities Centre,Utilities Centre,Dundee - Perrie Street
Construction and Infrastructure,Infrastructure and Utilities,Utilities North and East,Utilities East,Bourne - Abbey Road
Construction and Infrastructure,Highways,Local Highways,Local Highways,Chelmsford - Temple Wood
Centre,Group Centre,Group Centre,Kier Limited - IT Functions,Exeter - Hawthorn House
Construction and Infrastructure,Infrastructure and Utilities,Utilities Centre,Utilities Centre,Manchester - Grosvenor Street
Construction and Infrastructure,Build UK,Build Major Projects,Build Major Projects,CBE Project Capella
Development Property and Business Services,Living,Living Central,Living Central,Waterside
Construction and Infrastructure,Infrastructure and Utilities,Utilities North and East,Utilities Scotland,Manchester - Trafford Park
Development Property and Business Services,Living,Living Central,Living Central,Manor Kingsway
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,Waltham Forest - Hillyfield Primary School
Construction and Infrastructure,Build UK,Build Major Projects,Build Major Projects,Speke - Kier House
Development Property and Business Services,Living,Living Central,Living Central,Bilston - Woodlands
Development Property and Business Services,Environmental,Environmental,Recycling CIC,Taunton - Walford Cross Depot
Development Property and Business Services,Workplace Services,Technical Services,Hard Services,Winchester - Hampshire County Council HQ
Development Property and Business Services,Living,Living Central,Living Central,The Laurels
Construction and Infrastructure,Infrastructure and Utilities,Utilities North and East,Utilities North West,Derby - Raynesway
Centre,Group Centre,Group Centre,Kier Limited - IT Functions,Gosport - Wilmott Lane
Construction and Infrastructure,Highways,Local Highways,Local Highways,Horncastle - Hemingby Lane
Development Property and Business Services,Workplace Services,Technical Services,KWS Projects,Sheffield - Cathedral Court
Construction and Infrastructure,Infrastructure and Utilities,Utilities North and East,Utilities North West,Birmingham - Mount Street
Construction and Infrastructure,Infrastructure and Utilities,UK Infrastructure,Infrastructure Projects,Not Known
Construction and Infrastructure,Infrastructure and Utilities,Utilities North and East,Utilities East,Norfolk - Whitlingham
Development Property and Business Services,Property,Property Developments  Centre,KPD Centre,Nottingham - Marriott House
Construction and Infrastructure,Infrastructure and Utilities,Utilities Centre,Utilities Centre,St Austell - Dowrglann
Development Property and Business Services,Workplace Services,KWS Centre,KWS Centre,Crayford - Thames Road
Construction and Infrastructure,Build UK,Build Northern, Manchester,Liverpool - Kier House
Construction and Infrastructure,Highways,Local Highways,Local Highways,Northampton - Riverside House
Development Property and Business Services,Living,Living Northern,Living Northern,Leyland - Hulme Mill
Development Property and Business Services,Living,Living Eastern,Living Eastern,Leeds - Thorpe Park
Development Property and Business Services,Living,Living Northern,Living Northern,Leeds - Broadlea Street
Development Property and Business Services,Living,Living Northern,Living Northern,Manchester - Greenwood Road
Development Property and Business Services,Living,Living Northern,Living Northern,New Church Street
Development Property and Business Services,Housing Maintenance,Housing Maintenance North,#VALUE!,Solihull - Tungsten Building
